Tag1,Tag2,Tag3,Tag4,Pattern,Status,ID,TagCombined
D1_germ_J1,D2_germ_J2,__,__,g1g1_,GL_GL,1,D1_germ_J1.D2_germ_J2.__.__
D1_germ_J1,D1_x_J1,D2_germ_J2,__,d1g1_,DJ_GL,2,D1_germ_J1.D1_x_J1.D2_germ_J2.__
D1_germ_J1,D2_germ_J2,D2_x_J2,__,d2g1_,DJ_GL,2,D1_germ_J1.D2_germ_J2.D2_x_J2.__
D1_germ_J1,D1_x_J2,D2_germ_J2,__,d4g1_,DJ_GL,2,D1_germ_J1.D1_x_J2.D2_germ_J2.__
D1_germ_J1,D2_germ_J2,D2_x_J1,__,d5g1_,DJ_GL,2,D1_germ_J1.D2_germ_J2.D2_x_J1.__
D1_x_J1,D1_x_J1,D2_germ_J2,__,d1d1_,DJ_DJ,3,D1_x_J1.D1_x_J1.D2_germ_J2.__
D1_x_J1,D1_x_J1,D2_germ_J2,D2_x_J2,d1d3_d3d1_,DJ_DJ,3,D1_x_J1.D1_x_J1.D2_germ_J2.D2_x_J2
D1_x_J1,D1_x_J2,D2_germ_J2,__,d1d4_d4d1_,DJ_DJ,3,D1_x_J1.D1_x_J2.D2_germ_J2.__
D1_x_J1,D2_germ_J2,D2_x_J1,__,d1d5_d5d1_,DJ_DJ,3,D1_x_J1.D2_germ_J2.D2_x_J1.__
D1_germ_J1,D2_x_J2,D2_x_J2,__,d2d2_,DJ_DJ,3,D1_germ_J1.D2_x_J2.D2_x_J2.__
D1_germ_J1,D1_x_J1,D2_x_J2,D2_x_J2,d2d3_d3d2_,DJ_DJ,3,D1_germ_J1.D1_x_J1.D2_x_J2.D2_x_J2
D1_germ_J1,D1_x_J2,D2_x_J2,__,d2d4_d4d2_,DJ_DJ,3,D1_germ_J1.D1_x_J2.D2_x_J2.__
D1_germ_J1,D2_x_J1,D2_x_J2,__,d2d5_d5d2_,DJ_DJ,3,D1_germ_J1.D2_x_J1.D2_x_J2.__
D1_x_J1,D1_x_J1,D2_x_J2,D2_x_J2,d3d3_,DJ_DJ,3,D1_x_J1.D1_x_J1.D2_x_J2.D2_x_J2
D1_x_J1,D1_x_J2,D2_x_J2,__,d3d4_d4d3_,DJ_DJ,3,D1_x_J1.D1_x_J2.D2_x_J2.__
D1_x_J1,D2_x_J1,D2_x_J2,__,d3d5_d5d3_,DJ_DJ,3,D1_x_J1.D2_x_J1.D2_x_J2.__
D1_germ_J1,D1_x_J1,D2_germ_J2,D2_x_J2,d3g1_d1d2_d2d1_,DJ_DJ,3,D1_germ_J1.D1_x_J1.D2_germ_J2.D2_x_J2
D1_x_J2,D1_x_J2,__,__,d4d4_,DJ_DJ,3,D1_x_J2.D1_x_J2.__.__
D1_x_J2,D2_x_J1,__,__,d4d5_d5d4_,DJ_DJ,3,D1_x_J2.D2_x_J1.__.__
D2_x_J1,D2_x_J1,__,__,d5d5_,DJ_DJ,3,D2_x_J1.D2_x_J1.__.__
D1_germ_J1,D2_germ_J2,uV_x_J2,__,u1g1_,uVDJ_GL,4,D1_germ_J1.D2_germ_J2.uV_x_J2.__
D1_germ_J1,D2_germ_J2,uV_x_J1,__,u2g1_,uVDJ_GL,4,D1_germ_J1.D2_germ_J2.uV_x_J1.__
D1_germ_J1,D2_germ_J2,uV31_x_J1,__,u4g1_,uVDJ_GL,4,D1_germ_J1.D2_germ_J2.uV31_x_J1.__
D1_germ_J1,D2_germ_J2,uV31_x_J2,__,u5g1_u6g1_,uVDJ_GL,4,D1_germ_J1.D2_germ_J2.uV31_x_J2.__
D1_germ_J1,D2_germ_J2,pV_x_J2,__,p1g1_,pVDJ_GL,5,D1_germ_J1.D2_germ_J2.pV_x_J2.__
D1_germ_J1,D2_germ_J2,pV_x_J1,__,p2g1_,pVDJ_GL,5,D1_germ_J1.D2_germ_J2.pV_x_J1.__
D1_germ_J1,D2_germ_J2,pV31_x_J1,__,p4g1_,pVDJ_GL,5,D1_germ_J1.D2_germ_J2.pV31_x_J1.__
D1_germ_J1,D2_germ_J2,pV31_x_J2,__,p5g1_p6g1_,pVDJ_GL,5,D1_germ_J1.D2_germ_J2.pV31_x_J2.__
D1_x_J1,D2_germ_J2,uV_x_J2,__,u1d1_,uVDJ_DJ,6,D1_x_J1.D2_germ_J2.uV_x_J2.__
D1_germ_J1,D2_x_J2,uV_x_J2,__,u1d2_,uVDJ_DJ,6,D1_germ_J1.D2_x_J2.uV_x_J2.__
D1_x_J1,D2_x_J2,uV_x_J2,__,u1d3_,uVDJ_DJ,6,D1_x_J1.D2_x_J2.uV_x_J2.__
D1_x_J2,uV_x_J2,__,__,u1d4_,uVDJ_DJ,6,D1_x_J2.uV_x_J2.__.__
D2_x_J1,uV_x_J2,__,__,u1d5_,uVDJ_DJ,6,D2_x_J1.uV_x_J2.__.__
D1_x_J1,D2_germ_J2,uV_x_J1,__,u2d1_,uVDJ_DJ,6,D1_x_J1.D2_germ_J2.uV_x_J1.__
D1_x_J1,D2_germ_J2,D2_x_J2,uV_x_J1,u2d3_u3d1_,uVDJ_DJ,6,D1_x_J1.D2_germ_J2.D2_x_J2.uV_x_J1
D1_x_J2,D2_germ_J2,uV_x_J1,__,u2d4_,uVDJ_DJ,6,D1_x_J2.D2_germ_J2.uV_x_J1.__
D2_germ_J2,D2_x_J1,uV_x_J1,__,u2d5_,uVDJ_DJ,6,D2_germ_J2.D2_x_J1.uV_x_J1.__
D1_germ_J1,D2_x_J2,D2_x_J2,uV_x_J1,u3d2_,uVDJ_DJ,6,D1_germ_J1.D2_x_J2.D2_x_J2.uV_x_J1
D1_x_J1,D2_x_J2,D2_x_J2,uV_x_J1,u3d3_,uVDJ_DJ,6,D1_x_J1.D2_x_J2.D2_x_J2.uV_x_J1
D1_x_J2,D2_x_J2,uV_x_J1,__,u3d4_,uVDJ_DJ,6,D1_x_J2.D2_x_J2.uV_x_J1.__
D2_x_J1,D2_x_J2,uV_x_J1,__,u3d5_,uVDJ_DJ,6,D2_x_J1.D2_x_J2.uV_x_J1.__
D1_x_J1,D2_germ_J2,uV31_x_J1,__,u4d1_,uVDJ_DJ,6,D1_x_J1.D2_germ_J2.uV31_x_J1.__
D1_germ_J1,D2_x_J2,uV31_x_J1,__,u4d2_,uVDJ_DJ,6,D1_germ_J1.D2_x_J2.uV31_x_J1.__
D1_x_J1,D2_x_J2,uV31_x_J1,__,u4d3_,uVDJ_DJ,6,D1_x_J1.D2_x_J2.uV31_x_J1.__
D1_x_J2,uV31_x_J1,__,__,u4d4_,uVDJ_DJ,6,D1_x_J2.uV31_x_J1.__.__
D2_x_J1,uV31_x_J1,__,__,u4d5_,uVDJ_DJ,6,D2_x_J1.uV31_x_J1.__.__
D1_x_J1,D2_germ_J2,uV31_x_J2,__,u5d1_,uVDJ_DJ,6,D1_x_J1.D2_germ_J2.uV31_x_J2.__
D1_germ_J1,D2_x_J2,uV31_x_J2,__,u5d2_u6d2_,uVDJ_DJ,6,D1_germ_J1.D2_x_J2.uV31_x_J2.__
D1_x_J1,D2_x_J2,uV31_x_J2,__,u5d3_,uVDJ_DJ,6,D1_x_J1.D2_x_J2.uV31_x_J2.__
D1_x_J2,uV31_x_J2,__,__,u5d4_,uVDJ_DJ,6,D1_x_J2.uV31_x_J2.__.__
D2_x_J1,uV31_x_J2,__,__,u5d5_,uVDJ_DJ,6,D2_x_J1.uV31_x_J2.__.__
D1_germ_J1,D1_x_J1,D2_x_J2,uV31_x_J2,u6d3_u7d2_,uVDJ_DJ,6,D1_germ_J1.D1_x_J1.D2_x_J2.uV31_x_J2
D1_germ_J1,D1_x_J2,uV31_x_J2,__,u6d4_,uVDJ_DJ,6,D1_germ_J1.D1_x_J2.uV31_x_J2.__
D1_germ_J1,D2_x_J1,uV31_x_J2,__,u6d5_,uVDJ_DJ,6,D1_germ_J1.D2_x_J1.uV31_x_J2.__
D1_x_J1,D1_x_J1,D2_germ_J2,uV31_x_J2,u7d1_,uVDJ_DJ,6,D1_x_J1.D1_x_J1.D2_germ_J2.uV31_x_J2
D1_x_J1,D1_x_J1,D2_x_J2,uV31_x_J2,u7d3_,uVDJ_DJ,6,D1_x_J1.D1_x_J1.D2_x_J2.uV31_x_J2
D1_x_J1,D1_x_J2,uV31_x_J2,__,u7d4_,uVDJ_DJ,6,D1_x_J1.D1_x_J2.uV31_x_J2.__
D1_x_J1,D2_x_J1,uV31_x_J2,__,u7d5_,uVDJ_DJ,6,D1_x_J1.D2_x_J1.uV31_x_J2.__
D1_x_J2,uV31_x_J2,uV_x_J1,__,u8d4_,uVDJ_DJ,6,D1_x_J2.uV31_x_J2.uV_x_J1.__
D2_x_J1,uV31_x_J2,uV_x_J1,__,u8d5_,uVDJ_DJ,6,D2_x_J1.uV31_x_J2.uV_x_J1.__
D1_x_J2,pV31_x_J2,pV_x_J1,__,p10d4_,pVDJ_DJ,7,D1_x_J2.pV31_x_J2.pV_x_J1.__
D2_x_J1,pV31_x_J2,pV_x_J1,__,p10d5_,pVDJ_DJ,7,D2_x_J1.pV31_x_J2.pV_x_J1.__
D1_x_J1,D2_germ_J2,pV_x_J2,__,p1d1_,pVDJ_DJ,7,D1_x_J1.D2_germ_J2.pV_x_J2.__
